Team,Survived,TimeAlive,TravelledDistance,RLethalGrenadesThrown,RNonLethalGrenadesThrown,FirstKillTime,RoundKills,RoundAssists,RoundHeadshots,RoundFlankKills,RoundStartingEquipmentValue,TeamStartingEquipmentValue,MatchKills,MatchAssists,MatchHeadshots,Kills_per_minute,Assist_to_Kill_Ratio,Accuracy,Equipamiento_total,GrenadeActivity
0,1,9907,-0.6106469699006234,-1.054461378759474,-1.383831600451486,6136,0.651795899432319,0.0,-0.5252080787055295,0.0,-0.4671137365939754,-1.0969978329242558,-0.7460206807741528,-1.0343435006629729,-0.9532512455398175,-0.004518142812803994,1.3864810015583278,1.2777812600994112,-1.5641115695182313,-2.43829297921096
0,1,6092,0.0539791441874337,-1.054461378759474,-1.383831600451486,6136,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.07532923698047,-0.321510033960833,-0.7460206807741528,-1.0343435006629729,-0.9532512455398175,-0.007347544459364605,1.3864810015583278,1.2777812600994112,0.7538192030196369,-2.43829297921096
0,1,6092,-0.3769521855610928,-1.054461378759474,-1.383831600451486,8512,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.8527244799875867,-0.321510033960833,-1.0966104761744089,-0.4361779567108241,-0.621756214995506,-0.010800497138946904,0.3977510393959184,0.5669800065785799,-1.1742345139484196,-2.43829297921096
1,0,10817,-0.1926529594848526,-1.054461378759474,0.342232278166913,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.6984801826301422,-0.1878052410361049,-1.4472002715746646,-1.0343435006629729,-1.284746276084129,-0.008027365840295819,0.7147203610855656,0.8877460164419585,-0.8862854236662472,-0.7122291005925612
1,0,10359,-0.1332740750394168,-1.054461378759474,-1.383831600451486,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.1878052410361049,-1.4472002715746646,-1.0343435006629729,-1.284746276084129,-0.008382277854472427,0.7147203610855656,0.8877460164419585,-0.34643038291519124,-2.43829297921096
1,0,11419,-0.1553166489266315,-1.054461378759474,-1.383831600451486,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.1878052410361049,-1.4472002715746646,-1.0343435006629729,-1.284746276084129,-0.007604169918073376,0.7147203610855656,0.8877460164419585,-0.34643038291519124,-2.43829297921096
1,0,17821,-1.4253885107447064,-1.054461378759474,0.342232278166913,0,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.0043808445216418,-0.1878052410361049,-1.4472002715746646,-1.0343435006629729,-1.284746276084129,-0.00487245476092699,0.7147203610855656,0.8877460164419585,-0.19218608555774672,-0.7122291005925612
1,1,18315,-1.4400061425310229,-1.054461378759474,-0.5207996611422865,8004,2.091028555147929,0.0,1.4769151562722802,0.0,-0.0043808445216418,-0.1878052410361049,-1.0966104761744089,-1.0343435006629729,-0.9532512455398175,-0.003592499512446876,0.943218693543164,0.8692705990419601,-0.19218608555774672,-1.5752610399017606
0,1,18315,-1.462623621071478,0.6094330214553662,1.2052642174761123,1837,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.4583520475506917,0.2801615342004432,-0.7460206807741528,0.1619875872413246,-0.2902611844511945,-0.0024439661941823188,-0.21713551837896572,0.38907927344586163,0.7385135817511349,1.8146972389314784
0,1,18315,0.6064959238983387,0.6094330214553662,1.2052642174761123,3793,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.9210849396230252,0.2801615342004432,-1.0966104761744089,-0.4361779567108241,-0.9532512455398175,-0.003592499512446876,0.3977510393959184,0.8692705990419601,1.2012464738234683,1.8146972389314784
